character,pinyin,pinyin_plain,pinyin_initial,definition_en,lookup_category,frequency_tier,learning_band,frequency_rank,token,frequency_per_million,coverage_rate_pct,rank_3500,rank_7000,in_3500,in_7000,in_corpus,source
焚,fén,fen,F,to burn,Actions,Top 2500,General 3500,2499.0,39561.0,20.839976698165735,98.41975831442711,1929.0,3337.0,True,True,True,"3500, 7000, corpus"
坟,fén,fen,F,grave; tomb; CL:座[zuo4]; embankment; mound; ancient book,General Reference,Top 3500+,General 3500,2535.0,37471.0,19.73900474853943,98.49270834706275,647.0,1025.0,True,True,True,"3500, 7000, corpus"
忿,fèn,fen,F,anger; indignation; hatred,General Reference,Top 3500+,General 3500,3039.0,19358.0,10.197423445390468,99.22325443873719,1065.0,1777.0,True,True,True,"3500, 7000, corpus"
粪,fèn,fen,F,manure; dung,General Reference,Top 3500+,General 3500,3195.0,16072.0,8.466421614542599,99.36900953392212,2360.0,4294.0,True,True,True,"3500, 7000, corpus"
风,fēng,feng,F,"wind; news; style; custom; manner; CL:陣|阵[zhen4],絲|丝[si1]",General Reference,Top 300,HSK2 Expansion,163.0,2175031.0,1145.7646509893107,56.354881630080676,3393.0,6588.0,True,True,True,"3500, 7000, corpus"
封,fēng,feng,F,surname Feng,General Reference,Top 1200,General 3500,889.0,341037.0,179.6517563563193,87.0991086415203,863.0,1417.0,True,True,True,"3500, 7000, corpus"
凤,fèng,feng,F,surname Feng,General Reference,Top 1200,General 3500,984.0,288364.0,151.90462932155063,88.66530139823531,286.0,416.0,True,True,True,"3500, 7000, corpus"
峰,fēng,feng,F,(of a mountain) high and tapered peak or summit; mountain-like in appearance; highest level; classifier for camels,Numbers & Measures,Top 1200,General 3500,1088.0,245132.0,129.13084017023746,90.1163058339091,916.0,1512.0,True,True,True,"3500, 7000, corpus"
疯,fēng,feng,F,insane; mad; wild,General Reference,Top 1200,General 3500,1090.0,244767.0,128.9385651646807,90.14210187007926,2082.0,3704.0,True,True,True,"3500, 7000, corpus"
锋,fēng,feng,F,point of a spear; edge of a tool; vanguard; forward (in sports team),General Reference,Top 1200,General 3500,1137.0,232525.0,122.4897141563911,90.73242295911898,3238.0,6236.0,True,True,True,"3500, 7000, corpus"
枫,fēng,feng,F,maple (genus Acer),General Reference,Top 2500,General 3500,1339.0,177695.0,93.60632085590761,92.88871471407279,1539.0,2527.0,True,True,True,"3500, 7000, corpus"
丰,fēng,feng,F,luxuriant; buxom; appearance; charm,General Reference,Top 2500,General 3500,1372.0,169048.0,89.05124695714268,93.18944941635998,28.0,31.0,True,True,True,"3500, 7000, corpus"
奉,fèng,feng,F,"to offer (tribute); to present respectfully (to superior, ancestor, deity etc); to esteem; to revere; to believe in (a religion); to wait upon; to accept orders (from superior)",Actions,Top 2500,General 3500,1562.0,131631.0,69.3406883738089,94.6854765985884,728.0,1182.0,True,True,True,"3500, 7000, corpus"
冯,féng,feng,F,surname Feng,General Reference,Top 2500,General 3500,1659.0,115225.0,60.69832195966096,95.30953652526075,267.0,392.0,True,True,True,"3500, 7000, corpus"
缝,fèng,feng,F,to sew; to stitch,Actions,Top 2500,General 3500,1817.0,94012.0,49.523720061372494,96.17495189147677,2446.0,4452.0,True,True,True,"3500, 7000, corpus"
逢,féng,feng,F,to meet by chance; to come across; (of a calendar event) to come along; (of an event) to fall on (a particular day); to fawn upon,Time,Top 2500,General 3500,2108.0,65867.0,34.69747340001726,97.36560121976328,3137.0,5928.0,True,True,True,"3500, 7000, corpus"
讽,fěng,feng,F,to satirize; to mock; to recite; Taiwan pr. [feng4],Actions,Top 2500,General 3500,2342.0,48150.0,25.36449730837644,98.0589089106698,2892.0,5471.0,True,True,True,"3500, 7000, corpus"
蜂,fēng,feng,F,bee; wasp,General Reference,Top 2500,General 3500,2435.0,43028.0,22.666325860536272,98.2807784109791,2785.0,5221.0,True,True,True,"3500, 7000, corpus"
否,fǒu,fou,F,to negate; to deny; not,Question & Function,Top 1200,General 3500,722.0,450892.0,237.52126522052896,83.64443592534472,486.0,679.0,True,True,True,"3500, 7000, corpus"
服,fú,fu,F,"clothes; dress; garment; to serve (in the military, a prison sentence etc); to obey; to be convinced (by an argument); to convince; to admire; to acclimatize; to take (medicine); mourning clothes; to wear mourning clothes",People & Pronouns,Top 600,HSK3 Expansion,353.0,1011511.0,532.8446113581134,70.62767143073556,1489.0,2454.0,True,True,True,"3500, 7000, corpus"
夫,fū,fu,F,husband; man; manual worker; conscripted laborer (old),Business & Work,Top 600,HSK3 Expansion,405.0,890506.0,469.101496159773,73.20820834536102,715.0,1165.0,True,True,True,"3500, 7000, corpus"
父,fù,fu,F,(bound form) father; (bound form) male relative of father's generation (as in 伯父[bo2 fu4]); (computing) (bound form) parent-,People & Pronouns,Top 600,HSK3 Expansion,411.0,875667.0,461.2845953174262,73.48696285382799,1955.0,3393.0,True,True,True,"3500, 7000, corpus"
复,fù,fu,F,to go and return; to return; to resume; to return to a normal or original state; to repeat; again; to recover; to restore; to turn over; to reply; to answer; to reply to a letter; to retaliate; to carry out,Places & Movement,Top 600,HSK3 Expansion,524.0,656644.0,345.90747602412335,78.00439546984072,705.0,1151.0,True,True,True,"3500, 7000, corpus"
佛,fú,fu,F,Buddha; Buddhism (abbr. for 佛陀[Fo2 tuo2]),General Reference,Top 1200,General 3500,688.0,475734.0,250.60755477680493,82.81739153869658,149.0,191.0,True,True,True,"3500, 7000, corpus"
福,fú,fu,F,surname Fu; abbr. for Fujian province 福建省[Fu2 jian4 Sheng3],General Reference,Top 1200,General 3500,713.0,455530.0,239.96447474319248,83.42950623578392,2236.0,4057.0,True,True,True,"3500, 7000, corpus"
府,fǔ,fu,F,seat of government; government repository (archive); official residence; mansion; presidential palace; (honorific) Your home; prefecture (from Tang to Qing times),Time,Top 1200,General 3500,734.0,442709.0,233.2106176301978,83.92807284932266,986.0,1640.0,True,True,True,"3500, 7000, corpus"
副,fù,fu,F,"secondary; auxiliary; deputy; assistant; vice-; abbr. for 副詞|副词 adverb; classifier for pairs, sets of things & facial expressions",Numbers & Measures,Top 1200,General 3500,791.0,396897.0,209.07773391905883,85.1860957083028,338.0,486.0,True,True,True,"3500, 7000, corpus"
负,fù,fu,F,to bear; to carry (on one's back); to turn one's back on; to be defeated; negative (math. etc),Actions,Top 1200,General 3500,800.0,391986.0,206.4907132278556,85.37292100806505,2963.0,5613.0,True,True,True,"3500, 7000, corpus"
付,fù,fu,F,surname Fu,Business & Work,Top 1200,General 3500,885.0,342108.0,180.21593863289817,87.0272119071685,103.0,124.0,True,True,True,"3500, 7000, corpus"
富,fù,fu,F,surname Fu,General Reference,Top 1200,General 3500,938.0,312299.0,164.51312865853902,87.94090573622493,848.0,1398.0,True,True,True,"3500, 7000, corpus"
妇,fù,fu,F,woman,General Reference,Top 1200,General 3500,1057.0,254489.0,134.05992846337304,89.70892392971793,748.0,1208.0,True,True,True,"3500, 7000, corpus"
附,fù,fu,F,to add; to attach; to be close to; to be attached,Actions,Top 2500,General 3500,1223.0,207682.0,109.402897819278,91.72240197564712,3293.0,6402.0,True,True,True,"3500, 7000, corpus"
伏,fú,fu,F,surname Fu,General Reference,Top 2500,General 3500,1307.0,183556.0,96.69378334239553,92.58413303668816,120.0,151.0,True,True,True,"3500, 7000, corpus"
傅,fù,fu,F,surname Fu,General Reference,Top 2500,General 3500,1343.0,176201.0,92.81931028521778,92.92596623168362,209.0,309.0,True,True,True,"3500, 7000, corpus"
浮,fú,fu,F,to float; superficial; floating; unstable; movable; provisional; temporary; transient; impetuous; hollow; inflated; to exceed; superfluous; excessive; surplus,Actions,Top 2500,General 3500,1357.0,173250.0,91.26478003481242,93.05476114371405,1787.0,3034.0,True,True,True,"3500, 7000, corpus"
扶,fú,fu,F,to support with the hand; to help sb up; to support oneself by holding onto something; to help,Actions,Top 2500,General 3500,1391.0,165206.0,87.02735498084398,93.35685962891047,1195.0,2009.0,True,True,True,"3500, 7000, corpus"
抚,fǔ,fu,F,to comfort; to console; to stroke; to caress; an old term for province or provincial governor,Places & Movement,Top 2500,General 3500,1482.0,147135.0,77.50789847285498,94.10128866080119,1210.0,2028.0,True,True,True,"3500, 7000, corpus"
符,fú,fu,F,surname Fu,General Reference,Top 2500,General 3500,1623.0,119925.0,63.17419189422729,95.08713576647719,2313.0,4181.0,True,True,True,"3500, 7000, corpus"
肤,fū,fu,F,skin,General Reference,Top 2500,General 3500,1631.0,118772.0,62.566813589002834,95.13733139549635,2522.0,4615.0,True,True,True,"3500, 7000, corpus"
腹,fù,fu,F,abdomen; stomach; belly,Actions,Top 2500,General 3500,1747.0,102733.0,54.11777574208591,95.81234109063429,2574.0,4715.0,True,True,True,"3500, 7000, corpus"
幅,fú,fu,F,width; roll; classifier for textiles or pictures,Numbers & Measures,Top 2500,General 3500,1794.0,96800.0,50.992385035323764,96.05914249582854,961.0,1605.0,True,True,True,"3500, 7000, corpus"
咐,fù,fu,F,used in 吩咐[fen1 fu5] and 囑咐|嘱咐[zhu3 fu5],General Reference,Top 2500,General 3500,1818.0,93482.0,49.24452621768736,96.17987634409853,521.0,735.0,True,True,True,"3500, 7000, corpus"
覆,fù,fu,F,to cover; to overflow; to overturn; to capsize,Actions,Top 2500,General 3500,1965.0,76596.0,40.34930500171136,96.83289151697751,2858.0,5406.0,True,True,True,"3500, 7000, corpus"
腐,fǔ,fu,F,decay; rotten,General Reference,Top 2500,General 3500,2014.0,72243.0,38.05622801763321,97.02453169894743,2568.0,4698.0,True,True,True,"3500, 7000, corpus"
赴,fù,fu,F,to go; to visit (e.g. another country); to attend (a banquet etc),Places & Movement,Top 2500,General 3500,2269.0,52184.0,27.489531205406358,97.86639690641442,3013.0,5685.0,True,True,True,"3500, 7000, corpus"
斧,fǔ,fu,F,hatchet,General Reference,Top 2500,General 3500,2271.0,52064.0,27.426317504949342,97.87188243330583,1411.0,2324.0,True,True,True,"3500, 7000, corpus"
俯,fǔ,fu,F,to look down; to stoop,Actions,Top 2500,General 3500,2326.0,49115.0,25.87284081621825,98.01788332442938,184.0,259.0,True,True,True,"3500, 7000, corpus"
赋,fù,fu,F,poetic essay; taxation; to bestow on; to endow with,Actions,Top 2500,General 3500,2328.0,48946.0,25.78381485474129,98.0230469882293,2995.0,5655.0,True,True,True,"3500, 7000, corpus"
辅,fǔ,fu,F,to assist; to complement; auxiliary,Actions,Top 2500,General 3500,2341.0,48161.0,25.370291897585,98.05637246093896,3074.0,5834.0,True,True,True,"3500, 7000, corpus"
芙,fú,fu,F,"used in 芙蓉[fu2 rong2], lotus",General Reference,Top 2500,General 3500,2354.0,47397.0,24.96783133800868,98.08905915920552,2626.0,4817.0,True,True,True,"3500, 7000, corpus"
拂,fú,fu,F,to flick; to brush off; (of a breeze) to brush lightly over; (literary) to run counter to,Actions,Top 2500,General 3500,2363.0,46508.0,24.499523173789644,98.1113035336155,1224.0,2046.0,True,True,True,"3500, 7000, corpus"
甫,fǔ,fu,F,(classical) barely; just; just now,Time,Top 2500,General 3500,2375.0,46012.0,24.238239878567324,98.14049788564414,2052.0,3648.0,True,True,True,"3500, 7000, corpus"
俘,fú,fu,F,to take prisoner; prisoner of war,People & Pronouns,Top 2500,General 3500,2405.0,44283.0,23.327435811149194,98.21177628464929,178.0,245.0,True,True,True,"3500, 7000, corpus"
缚,fù,fu,F,to bind; to tie; Taiwan pr. [fu2],Actions,Top 3500+,General 3500,2666.0,31819.0,16.76163945701412,98.73115274302229,2445.0,4449.0,True,True,True,"3500, 7000, corpus"
蝠,fú,fu,F,(bound form) bat,General Reference,Top 3500+,General 3500,2935.0,22099.0,11.641329719996072,99.10956175384877,2801.0,5257.0,True,True,True,"3500, 7000, corpus"
敷,fū,fu,F,"to spread; to lay out; to apply (powder, ointment etc); sufficient (to cover); enough",Actions,Top 3500+,General 3500,2970.0,21263.0,11.200940940145548,99.1494079304729,1401.0,2308.0,True,True,True,"3500, 7000, corpus"
袱,fú,fu,F,(bound form) a cloth used to wrap or cover,Actions,Top 3500+,General 3500,3178.0,16411.0,8.64500031833366,99.35444536072724,2839.0,5353.0,True,True,True,"3500, 7000, corpus"
辐,fú,fu,F,spoke of a wheel,General Reference,Top 3500+,General 7000,4005.0,5668.0,2.9857937849195775,99.7855146500755,3078.0,5845.0,True,True,True,"3500, 7000, corpus"
孵,fū,fu,F,breeding; to incubate; to hatch,Actions,Top 3500+,General 7000,4201.0,4384.0,2.309407190029539,99.83714770596502,808.0,1350.0,True,True,True,"3500, 7000, corpus"
凫,fú,fu,F,mallard; Anas platyrhyncha,General Reference,Top 3500+,General 7000,5268.0,904.0,0.47620987677616405,99.9606550553428,287.0,417.0,True,True,True,"3500, 7000, corpus"
麸,fū,fu,F,bran,General Reference,Top 3500+,General 7000,5855.0,405.0,0.21334623904241865,99.97968453898174,3484.0,6933.0,True,True,True,"3500, 7000, corpus"
该,gāi,gai,G,should; ought to; probably; must be; to deserve; to owe; to be sb's turn to do sth; that; the above-mentioned,Actions,Top 300,HSK2 Expansion,255.0,1351318.0,711.8484272847484,64.58882838178835,2912.0,5510.0,True,True,True,"3500, 7000, corpus"
改,gǎi,gai,G,to change; to alter; to transform; to correct,Actions,Top 1200,General 3500,661.0,495567.0,261.0551991198377,82.12553007190043,1382.0,2284.0,True,True,True,"3500, 7000, corpus"
盖,gài,gai,G,surname Ge,General Reference,Top 1200,General 3500,1145.0,229688.0,120.99523692141987,90.82967576228575,2129.0,3818.0,True,True,True,"3500, 7000, corpus"
概,gài,gai,G,(bound form) general; approximate; without exception; categorically; (bound form) bearing; deportment,Places & Movement,Top 1200,General 3500,1149.0,227790.0,119.9954068925248,90.87780245956702,1626.0,2695.0,True,True,True,"3500, 7000, corpus"
丐,gài,gai,G,to beg for alms; beggar,Actions,Top 2500,General 3500,2381.0,45707.0,24.077571723239085,98.1549912594945,11.0,11.0,True,True,True,"3500, 7000, corpus"
钙,gài,gai,G,calcium (chemistry),General Reference,Top 3500+,General 7000,4408.0,3218.0,1.69518073392223,99.87827648857139,3201.0,6131.0,True,True,True,"3500, 7000, corpus"
溉,gài,gai,G,to irrigate,Actions,Top 3500+,General 7000,4650.0,2289.0,1.2058013362175215,99.91291327681903,1846.0,3144.0,True,True,True,"3500, 7000, corpus"
感,gǎn,gan,G,to feel; to move; to touch; to affect; feeling; emotion; (suffix) sense of ~,Actions,Top 300,HSK1 Core,143.0,2529138.0,1332.3014328870731,53.87897144945839,1137.0,1908.0,True,True,True,"3500, 7000, corpus"
干,gàn,gan,G,surname Gan,General Reference,Top 300,HSK2 Expansion,296.0,1197831.0,630.9944169343688,67.33300612868413,966.0,1614.0,True,True,True,"3500, 7000, corpus"
敢,gǎn,gan,G,to dare; daring; (polite) may I venture,Actions,Top 600,HSK3 Expansion,454.0,782369.0,412.1369967737729,75.37195747323581,1394.0,2300.0,True,True,True,"3500, 7000, corpus"
赶,gǎn,gan,G,to overtake; to catch up with; to hurry; to rush; to try to catch (the bus etc); to drive (cattle etc) forward; to drive (sb) away; to avail oneself of (an opportunity); until; by (a certain time),Time,Top 600,HSK3 Expansion,585.0,585731.0,308.5518665198887,79.99358523171183,3015.0,5687.0,True,True,True,"3500, 7000, corpus"
甘,gān,gan,G,surname Gan; short name for Gansu 甘肅|甘肃[Gan1 su4],General Reference,Top 2500,General 3500,1443.0,153739.0,80.98675912133926,93.79360830049828,2045.0,3639.0,True,True,True,"3500, 7000, corpus"
杆,gān,gan,G,"pole; CL:條|条[tiao2],根[gen1]",General Reference,Top 2500,General 3500,2154.0,61570.0,32.43389614281905,97.52029099204888,1508.0,2478.0,True,True,True,"3500, 7000, corpus"
肝,gān,gan,G,"liver (CL:葉|叶[ye4]); (slang) to put in long hours, typically late into the night, playing (a video game); (of a video game) involving a lot of repetition in order to progress; grindy",Time,Top 3500+,General 3500,2679.0,31440.0,16.561989519737388,98.75278973912707,2518.0,4610.0,True,True,True,"3500, 7000, corpus"
竿,gān,gan,G,pole,General Reference,Top 3500+,General 3500,3230.0,15347.0,8.08450550761481,99.39789866913372,2305.0,4164.0,True,True,True,"3500, 7000, corpus"
橄,gǎn,gan,G,used in 橄欖|橄榄[gan3 lan3],General Reference,Top 3500+,General 7000,3946.0,6085.0,3.2054613940076973,99.76733354697468,1642.0,2741.0,True,True,True,"3500, 7000, corpus"
秆,gǎn,gan,G,stalks of grain,General Reference,Top 3500+,General 7000,4821.0,1730.0,0.9113308482552698,99.9307078281416,2243.0,4070.0,True,True,True,"3500, 7000, corpus"
柑,gān,gan,G,large tangerine,General Reference,Top 3500+,General 7000,4849.0,1661.0,0.8749829704924873,99.93321056389885,1546.0,2542.0,True,True,True,"3500, 7000, corpus"
刚,gāng,gang,G,hard; firm; strong; just; barely; exactly,General Reference,Top 300,HSK2 Expansion,225.0,1561764.0,822.7073473378862,62.30315503898578,310.0,445.0,True,True,True,"3500, 7000, corpus"
港,gǎng,gang,G,Hong Kong (abbr. for 香港[Xiang1 gang3]); surname Gang,General Reference,Top 2500,General 3500,1557.0,132167.0,69.6230429025169,94.65073208365962,1835.0,3117.0,True,True,True,"3500, 7000, corpus"
钢,gāng,gang,G,steel,General Reference,Top 2500,General 3500,1661.0,114590.0,60.36381612807593,95.32162256336346,3206.0,6139.0,True,True,True,"3500, 7000, corpus"
岗,gǎng,gang,G,(bound form) hillock; mound; sentry post; policeman's beat; (bound form) job; post,Actions,Top 2500,General 3500,2268.0,52253.0,27.525879083169137,97.86364795329388,907.0,1480.0,True,True,True,"3500, 7000, corpus"
冈,gāng,gang,G,ridge; mound,General Reference,Top 3500+,General 3500,2758.0,28197.0,14.853639264886613,98.8759375079052,255.0,377.0,True,True,True,"3500, 7000, corpus"
缸,gāng,gang,G,jar; vat; classifier for loads of laundry; CL:口[kou3],Numbers & Measures,Top 3500+,General 3500,2809.0,26248.0,13.826943413297295,98.94880578415496,2454.0,4477.0,True,True,True,"3500, 7000, corpus"
纲,gāng,gang,G,head rope of a fishing net; guiding principle; key link; class (taxonomy); outline; program,General Reference,Top 3500+,General 3500,2831.0,25530.0,13.4487147722295,98.97882981600212,2392.0,4354.0,True,True,True,"3500, 7000, corpus"
杠,gāng,gang,G,flagpole; footbridge,General Reference,Top 3500+,General 3500,3413.0,11743.0,6.185987370555857,99.52607061014608,1518.0,2491.0,True,True,True,"3500, 7000, corpus"
肛,gāng,gang,G,used in 脫疘|脱肛[tuo1 gang1],General Reference,Top 3500+,General 7000,4671.0,2191.0,1.1541768141776279,99.91537323797232,2517.0,4609.0,True,True,True,"3500, 7000, corpus"
高,gāo,gao,G,surname Gao,General Reference,Top 300,HSK1 Core,141.0,2565932.0,1351.6838070088675,53.61094767735634,3444.0,6727.0,True,True,True,"3500, 7000, corpus"
告,gào,gao,G,(bound form) to say; to tell; to announce; to report; to denounce; to file a lawsuit; to sue,Actions,Top 600,HSK3 Expansion,341.0,1054831.0,555.6647572230951,69.97728341924757,505.0,701.0,True,True,True,"3500, 7000, corpus"
搞,gǎo,gao,G,to do; to make; to go in for; to set up; to get hold of; to take care of,Places & Movement,Top 1200,General 3500,966.0,297225.0,156.5724343194639,88.38872144106406,1343.0,2213.0,True,True,True,"3500, 7000, corpus"
糕,gāo,gao,G,cake,General Reference,Top 2500,General 3500,2171.0,60411.0,31.823357152571734,97.57493212455267,2366.0,4310.0,True,True,True,"3500, 7000, corpus"
稿,gǎo,gao,G,manuscript; draft; stalk of grain,General Reference,Top 2500,General 3500,2184.0,59162.0,31.16540788698166,97.61592347003872,2272.0,4110.0,True,True,True,"3500, 7000, corpus"
膏,gāo,gao,G,ointment; paste; CL:帖[tie3],General Reference,Top 3500+,General 3500,2992.0,20747.0,10.929122028180393,99.17374415158716,2581.0,4726.0,True,True,True,"3500, 7000, corpus"
羔,gāo,gao,G,lamb,General Reference,Top 3500+,General 7000,3667.0,8622.0,4.541904377836379,99.65966449560283,2468.0,4507.0,True,True,True,"3500, 7000, corpus"
镐,gǎo,gao,G,a pick,General Reference,Top 3500+,General 7000,3998.0,5696.0,3.000543648359547,99.78341911590533,3258.0,6300.0,True,True,True,"3500, 7000, corpus"
篙,gāo,gao,G,pole for punting boats,General Reference,Top 3500+,General 7000,4786.0,1804.0,0.9503126302037611,99.92744658065689,2341.0,4248.0,True,True,True,"3500, 7000, corpus"
个,gè,ge,G,used in 自個兒|自个儿[zi4 ge3 r5],Numbers & Measures,Top 100,Zero Beginner,13.0,14789406.0,7790.775673509581,18.870854494251258,26.0,28.0,True,True,True,"3500, 7000, corpus"
哥,gē,ge,G,elder brother,General Reference,Top 600,HSK3 Expansion,301.0,1176477.0,619.7455389380434,67.644378327128,544.0,785.0,True,True,True,"3500, 7000, corpus"
各,gè,ge,G,each; every,General Reference,Top 600,HSK3 Expansion,425.0,856128.0,450.99182454051305,74.12218194772004,467.0,658.0,True,True,True,"3500, 7000, corpus"
格,gé,ge,G,used in 格登[ge1 deng1]; used in 格格[ge1 ge1],General Reference,Top 600,HSK3 Expansion,489.0,715810.0,377.07499103445355,76.74254665431847,1572.0,2589.0,True,True,True,"3500, 7000, corpus"
歌,gē,ge,G,"song (CL:首[shou3],支[zhi1]); (bound form) to sing",People & Pronouns,Top 1200,General 3500,904.0,332504.0,175.15673547298857,87.3651352294345,1661.0,2778.0,True,True,True,"3500, 7000, corpus"
革,gé,ge,G,animal hide; leather; to reform; to remove; to expel (from office),Actions,Top 2500,General 3500,1322.0,180934.0,95.3125639874098,92.72819811359138,3355.0,6502.0,True,True,True,"3500, 7000, corpus"
隔,gé,ge,G,to separate; to partition; to stand or lie between; at a distance from; after or at an interval of,Actions,Top 2500,General 3500,1373.0,169019.0,89.03597031286557,93.19835301339127,3315.0,6436.0,True,True,True,"3500, 7000, corpus"
阁,gé,ge,G,pavilion (usu. two-storied); cabinet (politics); boudoir; woman's chamber; rack; shelf,Actions,Top 2500,General 3500,1656.0,115474.0,60.82949038810926,95.29131591359719,3279.0,6359.0,True,True,True,"3500, 7000, corpus"
葛,gé,ge,G,surname Ge,General Reference,Top 2500,General 3500,1693.0,109554.0,57.710947832229955,95.51050715477432,2707.0,5027.0,True,True,True,"3500, 7000, corpus"
割,gē,ge,G,to cut; to cut apart,Actions,Top 2500,General 3500,1953.0,77561.0,40.857648509553165,96.78419294641942,339.0,487.0,True,True,True,"3500, 7000, corpus"
胳,gē,ge,G,used in 胳肢窩|胳肢窝[ga1 zhi5 wo1],General Reference,Top 2500,General 3500,1975.0,75288.0,39.66027566672991,96.8729310221689,2547.0,4663.0,True,True,True,"3500, 7000, corpus"
戈,gē,ge,G,surname Ge,General Reference,Top 2500,General 3500,2068.0,68258.0,35.95700638162324,97.22440730913478,1160.0,1951.0,True,True,True,"3500, 7000, corpus"
搁,gē,ge,G,to place; to put aside; to shelve,Places & Movement,Top 3500+,General 3500,2532.0,37572.0,19.79220961309075,98.48677921802839,1336.0,2201.0,True,True,True,"3500, 7000, corpus"
鸽,gē,ge,G,pigeon; dove,Actions,Top 3500+,General 3500,3076.0,18712.0,9.857123024596884,99.2602838655471,3472.0,6877.0,True,True,True,"3500, 7000, corpus"
疙,gē,ge,G,pimple; wart,General Reference,Top 3500+,General 3500,3130.0,17365.0,9.147549236966912,99.31170826354698,2076.0,3690.0,True,True,True,"3500, 7000, corpus"
给,gěi,gei,G,to; for; for the benefit of; to give; to allow; to do sth (for sb); (grammatical equivalent of 被); (grammatical equivalent of 把); (sentence intensifier),Question & Function,Top 300,HSK1 Core,116.0,2939384.0,1548.4111642011376,50.047909716254416,2416.0,4390.0,True,True,True,"3500, 7000, corpus"
跟,gēn,gen,G,heel; to follow closely; to go with; (of a woman) to marry sb; with; compared with; to; towards; and (joining two nouns),Places & Movement,Top 300,HSK2 Expansion,226.0,1547565.0,815.22758623131,62.38467779760891,3032.0,5722.0,True,True,True,"3500, 7000, corpus"
根,gēn,gen,G,"root; basis; classifier for long slender objects, e.g. cigarettes, guitar strings; CL:條|条[tiao2]; radical (chemistry)",Numbers & Measures,Top 600,HSK3 Expansion,407.0,886057.0,466.75784821532926,73.30161844035509,1571.0,2588.0,True,True,True,"3500, 7000, corpus"
更,gèng,geng,G,to change or replace; to experience; one of the five two-hour periods into which the night was formerly divided; watch (e.g. of a sentry or guard),Question & Function,Top 300,HSK2 Expansion,206.0,1703552.0,897.398548674544,60.67633944800505,1480.0,2443.0,True,True,True,"3500, 7000, corpus"
耿,gěng,geng,G,surname Geng,General Reference,Top 2500,General 3500,2241.0,54708.0,28.819126038352195,97.7875229071966,2499.0,4582.0,True,True,True,"3500, 7000, corpus"
耕,gēng,geng,G,to plow; to till,Actions,Top 3500+,General 3500,2944.0,21786.0,11.476447317970697,99.11997694849222,2491.0,4558.0,True,True,True,"3500, 7000, corpus"
羹,gēng,geng,G,thick soup,General Reference,Top 3500+,General 7000,3558.0,9720.0,5.120309737018048,99.60725802008828,2472.0,4519.0,True,True,True,"3500, 7000, corpus"
梗,gěng,geng,G,"branch; stem; stalk; CL:根[gen1]; to block; to hinder; (neologism that evolved from 哏[gen2], initially in Taiwan, during the first decade of the 21st century) memorable creative idea (joke, catchphrase, meme, neologism, witty remark etc); prominent feature of a creative work (punchline of a joke, trope in a drama, special ingredient in a dish, riff in a pop song etc)",Business & Work,Top 3500+,General 7000,3737.0,7980.0,4.20371108039136,99.69022131358867,1591.0,2628.0,True,True,True,"3500, 7000, corpus"
埂,gěng,geng,G,strip of high ground; low earth dyke separating fields,General Reference,Top 3500+,General 7000,4645.0,2301.0,1.212122706263223,99.9123087958084,665.0,1068.0,True,True,True,"3500, 7000, corpus"
公,gōng,gong,G,"public; collectively owned; common; international (e.g. high seas, metric system, calendar); make public; fair; just; Duke, highest of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4]; honorable (gentlemen); father-in-law; male (animal)",Business & Work,Top 300,HSK2 Expansion,171.0,2055138.0,1082.607316081872,57.237777322849794,240.0,359.0,True,True,True,"3500, 7000, corpus"
工,gōng,gong,G,work; worker; skill; profession; trade; craft; labor,Business & Work,Top 300,HSK2 Expansion,283.0,1242237.0,654.3866467884865,66.49952779892534,930.0,1558.0,True,True,True,"3500, 7000, corpus"
功,gōng,gong,G,meritorious deed or service; achievement; result; service; accomplishment; work (physics),Business & Work,Top 600,HSK3 Expansion,375.0,945623.0,498.13607556051613,71.7574532350575,345.0,498.0,True,True,True,"3500, 7000, corpus"
攻,gōng,gong,G,to attack; to accuse; to study; (LGBT) top,Actions,Top 600,HSK3 Expansion,519.0,665395.0,350.517335129951,77.8308225009546,1383.0,2285.0,True,True,True,"3500, 7000, corpus"
宫,gōng,gong,G,surname Gong,Places & Movement,Top 1200,General 3500,748.0,431590.0,227.35334150201842,84.24977153251697,834.0,1381.0,True,True,True,"3500, 7000, corpus"
共,gòng,gong,G,"common; general; to share; together; total; altogether; abbr. for 共產黨|共产党[Gong4 chan3 dang3], Communist party",Places & Movement,Top 1200,General 3500,799.0,393083.0,207.06859180620012,85.35227193674227,243.0,363.0,True,True,True,"3500, 7000, corpus"
供,gōng,gong,G,to provide; to supply; to be for (the use or convenience of),Actions,Top 2500,General 3500,1285.0,188899.0,99.50837335524405,92.3684502085645,160.0,221.0,True,True,True,"3500, 7000, corpus"
恭,gōng,gong,G,respectful,General Reference,Top 2500,General 3500,1578.0,127784.0,67.3141624933245,94.79465329671623,1093.0,1831.0,True,True,True,"3500, 7000, corpus"
弓,gōng,gong,G,surname Gong,Places & Movement,Top 2500,General 3500,1618.0,120521.0,63.4881532731638,95.05549288443942,1008.0,1682.0,True,True,True,"3500, 7000, corpus"
贡,gòng,gong,G,surname Gong,Places & Movement,Top 2500,General 3500,2330.0,48905.0,25.762216840418475,98.02819990570013,2964.0,5614.0,True,True,True,"3500, 7000, corpus"
