character,pinyin,pinyin_plain,pinyin_initial,definition_en,example_words,lookup_category,frequency_tier,learning_band,frequency_rank,token,frequency_per_million,coverage_rate_pct,rank_3500,rank_7000,in_3500,in_7000,in_corpus,source
亨,hēng,heng,H,prosperous; henry (unit of inductance),亨利 (hēng lì); 亨氏 (hēng shì); 亨特 (hēng tè),General Reference,Top 3500+,General 3500,2793.0,26827.0,14.131949518002383,98.92648845059904,,92.0,False,True,True,"7000, corpus"
奕,yì,yi,Y,abundant; graceful,卫奕信 (wèi yì xìn); 陈奕迅 (chén yì xùn); 神采奕奕 (shén cǎi yì yì),General Reference,Top 3500+,General 3500,2794.0,26802.0,14.118779997073839,98.92790032859874,733.0,1188.0,True,True,True,"3500, 7000, corpus"
蚂,mǎ,ma,M,used in 螞螂|蚂螂[ma1 lang2],蚂蚁 (mǎ yǐ); 蚂蚱 (mà zhà); 蚂螂 (mā láng),General Reference,Top 3500+,General 3500,2795.0,26697.0,14.063468009173953,98.92930667539966,2762.0,5169.0,True,True,True,"3500, 7000, corpus"
猩,xīng,xing,X,ape,猩化 (xīng huà); 猩猩 (xīng xīng); 猩红 (xīng hóng),General Reference,Top 3500+,General 3500,2796.0,26668.0,14.048191364896839,98.93071149453615,1998.0,3490.0,True,True,True,"3500, 7000, corpus"
滨,bīn,bin,B,"(bound form) water's edge; bank; shore; (bound form) to border on (a lake, river etc)",姚滨 (yáo bīn); 横滨 (héng bīn); 河滨 (hé bīn),Actions,Top 3500+,General 3500,2797.0,26667.0,14.047664584059698,98.93211626099456,1863.0,3187.0,True,True,True,"3500, 7000, corpus"
沁,qìn,qin,Q,to seep; to percolate,沁入 (qìn rù); 边沁 (biān qìn); 马克沁 (mǎ kè qìn),Actions,Top 3500+,General 3500,2798.0,26604.0,14.014477391319767,98.93351770873369,,2898.0,False,True,True,"7000, corpus"
跋,bá,ba,B,postscript; to trek across mountains,序跋 (xù bá); 拓跋 (tuò bá); 跋扈 (bá hù),Actions,Top 3500+,General 3500,2799.0,26559.0,13.990772253648387,98.93491678595905,3027.0,5710.0,True,True,True,"3500, 7000, corpus"
藩,fān,fan,F,fence; hedge; (literary) screen; barrier; vassal state; Taiwan pr. [fan2],藩国 (fān guó); 藩属 (fān shǔ); 藩库 (fān kù),General Reference,Top 3500+,General 3500,2800.0,26539.0,13.98023663690555,98.93631480962274,,5137.0,False,True,True,"7000, corpus"
舔,tiǎn,tian,T,to lick; to lap,舔吮 (tiǎn shǔn); 舔狗 (tiǎn gǒu); 舔肛 (tiǎn gāng),Actions,Top 3500+,General 3500,2801.0,26424.0,13.919656840634246,98.93770677530681,2603.0,4767.0,True,True,True,"3500, 7000, corpus"
捐,juān,juan,J,to relinquish; to abandon; to contribute; to donate; (bound form) tax; levy,乐捐 (lè juān); 募捐 (mù juān); 抗捐 (kàng juān),Actions,Top 3500+,General 3500,2802.0,26418.0,13.916496155611396,98.93909842492236,1288.0,2129.0,True,True,True,"3500, 7000, corpus"
歧,qí,qi,Q,divergent; side road,分歧 (fēn qí); 歧义 (qí yì); 歧异 (qí yì),Places & Movement,Top 3500+,General 3500,2803.0,26398.0,13.90596053886856,98.94048902097624,1667.0,2785.0,True,True,True,"3500, 7000, corpus"
隋,suí,sui,S,the Sui dynasty (581–617 AD); surname Sui,隋书 (suí shū); 隋代 (suí dài); 隋唐 (suí táng),General Reference,Top 3500+,General 3500,2804.0,26353.0,13.882255401197181,98.94187724651637,,6432.0,False,True,True,"7000, corpus"
蹭,cèng,ceng,C,to rub against; to walk slowly; (coll.) to freeload,刮蹭 (guā cèng); 磨蹭 (mó cèng); 蹭吃 (cèng chī),Actions,Top 3500+,General 3500,2805.0,26351.0,13.881201839522896,98.94326536670032,3052.0,5780.0,True,True,True,"3500, 7000, corpus"
甄,zhēn,zhen,Z,surname Zhen,甄别 (zhēn bié); 甄审 (zhēn shěn); 甄录 (zhēn lù),General Reference,Top 3500+,General 3500,2806.0,26342.0,13.876460811988622,98.94465301278152,,3634.0,False,True,True,"7000, corpus"
蜡,là,la,L,candle; wax,发蜡 (fà là); 嚼蜡 (jué là); 坐蜡 (zuò là),General Reference,Top 3500+,General 3500,2807.0,26302.0,13.85538957850295,98.94603855173936,2793.0,5237.0,True,True,True,"3500, 7000, corpus"
嗤,chī,chi,C,laugh at; jeer; scoff at; sneer at,嗤笑 (chī xiào); 嗤之以鼻 (chī zhī yǐ bí),General Reference,Top 3500+,General 3500,2808.0,26283.0,13.845380742597257,98.94742308981363,593.0,896.0,True,True,True,"3500, 7000, corpus"
缸,gāng,gang,G,jar; vat; classifier for loads of laundry; CL:口[kou3],气缸 (qì gāng); 水缸 (shuǐ gāng); 汽缸 (qì gāng),Numbers & Measures,Top 3500+,General 3500,2809.0,26248.0,13.826943413297295,98.94880578415496,2454.0,4477.0,True,True,True,"3500, 7000, corpus"
嬉,xī,xi,X,(literary) to amuse oneself; to play; to have fun,嬉戏 (xī xì); 嬉游 (xī yóu); 嬉笑 (xī xiào),Actions,Top 3500+,General 3500,2810.0,26210.0,13.806925741485909,98.9501864767291,795.0,1320.0,True,True,True,"3500, 7000, corpus"
哮,xiāo,xiao,X,pant; roar; bark (of animals); Taiwan pr. [xiao1],咆哮 (páo xiāo); 哮喘 (xiāo chuǎn); 哮鸣 (xiāo míng),General Reference,Top 3500+,General 3500,2811.0,26173.0,13.787434850511662,98.95156522021415,549.0,792.0,True,True,True,"3500, 7000, corpus"
熄,xī,xi,X,"to extinguish; to put out (fire); to quench; to stop burning; to go out (of fire, lamp etc); to come to an end; to wither away; to die out; Taiwan pr. [xi2]",吹熄 (chuī xī); 智熄 (zhì xī); 熄火 (xī huǒ),Places & Movement,Top 3500+,General 3500,2812.0,26172.0,13.78690806967452,98.95294391102112,1939.0,3360.0,True,True,True,"3500, 7000, corpus"
窍,qiào,qiao,Q,hole; opening; orifice (of the human body); (fig.) key (to the solution of a problem),七窍 (qī qiào); 九窍 (jiǔ qiào); 开窍 (kāi qiào),Actions,Top 3500+,General 3500,2813.0,26141.0,13.770577863723126,98.9543209688075,2283.0,4129.0,True,True,True,"3500, 7000, corpus"
俞,yú,yu,Y,surname Yu,俞穴 (yú xué); 俞天白 (yú tiān bái); 俞文豹 (yú wén bào),General Reference,Top 3500+,General 3500,2814.0,26139.0,13.769524302048842,98.9556979212377,,249.0,False,True,True,"7000, corpus"
豁,huō,huo,H,to play Chinese finger-guessing game,哦豁 (ó huō); 显豁 (xiǎn huò); 豁免 (huò miǎn),Actions,Top 3500+,General 3500,2815.0,26107.0,13.752667315260304,98.95707318796923,2952.0,5588.0,True,True,True,"3500, 7000, corpus"
垒,lěi,lei,L,"rampart; base (in baseball); to build with stones, bricks etc",块垒 (kuài lěi); 坡垒 (pō lěi); 垒包 (lěi bāo),Actions,Top 3500+,General 3500,2816.0,26075.0,13.735810328471768,98.95844676900208,659.0,1048.0,True,True,True,"3500, 7000, corpus"
掘,jué,jue,J,to dig,发掘 (fā jué); 开掘 (kāi jué); 挖掘 (wā jué),Actions,Top 3500+,General 3500,2817.0,26017.0,13.705257039917546,98.95981729470607,1310.0,2157.0,True,True,True,"3500, 7000, corpus"
琦,qí,qi,Q,(literary) fine jade,崔琦 (cuī qí),General Reference,Top 3500+,General 3500,2818.0,26016.0,13.704730259080403,98.96118776773199,,3571.0,False,True,True,"7000, corpus"
屎,shǐ,shi,S,"feces; excrement; a stool; (bound form) secretion (of the ear, eye etc)",屎意 (shǐ yì); 屙屎 (ē shǐ); 把屎 (bǎ shǐ),General Reference,Top 3500+,General 3500,2819.0,25988.0,13.689980395640433,98.96255676577155,891.0,1454.0,True,True,True,"3500, 7000, corpus"
乍,zhà,zha,Z,at first; suddenly; abruptly; to spread; (of hair) to stand on end; bristling,乍得 (zhà dé); 乍浦 (zhà pǔ); 乍现 (zhà xiàn),Actions,Top 3500+,General 3500,2820.0,25921.0,13.654686079551935,98.96392223437951,43.0,47.0,True,True,True,"3500, 7000, corpus"
孽,niè,nie,N,son born of a concubine; disaster; sin; evil,余孽 (yú niè); 作孽 (zuò niè); 冤孽 (yuān niè),People & Pronouns,Top 3500+,General 3500,2821.0,25919.0,13.653632517877652,98.9652875976313,809.0,1352.0,True,True,True,"3500, 7000, corpus"
毯,tǎn,tan,T,blanket; rug,地毯 (dì tǎn); 壁毯 (bì tǎn); 挂毯 (guà tǎn),General Reference,Top 3500+,General 3500,2822.0,25831.0,13.607275804209175,98.96664832521172,1692.0,2831.0,True,True,True,"3500, 7000, corpus"
弧,hú,hu,H,arc,余弧 (yú hú); 圆弧 (yuán hú); 岛弧 (dǎo hú),General Reference,Top 3500+,General 3500,2823.0,25808.0,13.595159844954914,98.96800784119621,1015.0,1691.0,True,True,True,"3500, 7000, corpus"
槐,huái,huai,H,Chinese scholar tree (Sophora japonica); Japanese pagoda tree,刺槐 (cì huái); 国槐 (guó huái); 槐树 (huái shù),Places & Movement,Top 3500+,General 3500,2824.0,25776.0,13.578302858166378,98.96936567148202,1635.0,2718.0,True,True,True,"3500, 7000, corpus"
铠,kǎi,kai,K,armor,甲铠 (jiǎ kǎi); 铠甲 (kǎi jiǎ),General Reference,Top 3500+,General 3500,2825.0,25757.0,13.568294022260684,98.97072250088425,,6194.0,False,True,True,"7000, corpus"
挟,xié,xie,X,(bound form) to clasp under the arm; (bound form) to coerce; (bound form) to harbor (resentment etc); Taiwan pr. [xia2],挟制 (xié zhì); 挟带 (xié dài); 挟怨 (xié yuàn),Actions,Top 3500+,General 3500,2826.0,25752.0,13.565660118074975,98.97207906689606,1268.0,2103.0,True,True,True,"3500, 7000, corpus"
襟,jīn,jin,J,"lapel; overlap of Chinese gown; fig. bosom (the seat of emotions); to cherish (ambition, desires, honorable intentions etc) in one's bosom",对襟 (duì jīn); 开襟 (kāi jīn); 胸襟 (xiōng jīn),Places & Movement,Top 3500+,General 3500,2827.0,25730.0,13.554070939657857,98.97343447399003,2855.0,5400.0,True,True,True,"3500, 7000, corpus"
梨,lí,li,L,pear; CL:個|个[ge4],凤梨 (fèng lí); 杜梨 (dù lí); 梨园 (lí yuán),General Reference,Top 3500+,General 3500,2828.0,25679.0,13.527205116963625,98.97478719450172,1595.0,2632.0,True,True,True,"3500, 7000, corpus"
嗅,xiù,xiu,X,to smell; to sniff; to nose,嗅探 (xiù tàn); 嗅球 (xiù qiú); 嗅盐 (xiù yán),Actions,Top 3500+,General 3500,2829.0,25646.0,13.509821349337946,98.97613817663665,589.0,881.0,True,True,True,"3500, 7000, corpus"
祁,qí,qi,Q,surname Qi,宋祁 (sòng qí); 祁奚 (qí xī); 无支祁 (wú zhī qí),General Reference,Top 3500+,General 3500,2830.0,25566.0,13.467678882366604,98.97748494452489,,4024.0,False,True,True,"7000, corpus"
纲,gāng,gang,G,head rope of a fishing net; guiding principle; key link; class (taxonomy); outline; program,亚纲 (yà gāng); 党纲 (dǎng gāng); 八纲 (bā gāng),General Reference,Top 3500+,General 3500,2831.0,25530.0,13.4487147722295,98.97882981600212,2392.0,4354.0,True,True,True,"3500, 7000, corpus"
渠,qú,qu,Q,surname Qu,干渠 (gàn qú); 明渠 (míng qú); 暗渠 (àn qú),General Reference,Top 3500+,General 3500,2832.0,25514.0,13.440286278835233,98.98017384463,1830.0,3109.0,True,True,True,"3500, 7000, corpus"
矢,shǐ,shi,S,arrow; dart; straight; to vow; to swear,永矢 (yǒng shǐ); 矢志 (shǐ zhì); 矢量 (shǐ liàng),Actions,Top 3500+,General 3500,2833.0,25495.0,13.430277442929539,98.9815168723743,2171.0,3906.0,True,True,True,"3500, 7000, corpus"
捅,tǒng,tong,T,to poke; to jab; to give (sb) a nudge; to prod; to disclose; to reveal,捅破 (tǒng pò); 捅娄子 (tǒng lóu zi); 捅马蜂窝 (tǒng mǎ fēng wō),Actions,Top 3500+,General 3500,2834.0,25436.0,13.399197373538174,98.98285679211165,1281.0,2121.0,True,True,True,"3500, 7000, corpus"
扛,káng,kang,K,to raise aloft with both hands; (of two or more people) to carry sth together,肩扛 (jiān káng); 扛把子 (káng bǎ zi),People & Pronouns,Top 3500+,General 3500,2835.0,25430.0,13.396036688515323,98.9841963957805,1184.0,1996.0,True,True,True,"3500, 7000, corpus"
朽,xiǔ,xiu,X,rotten,不朽 (bù xiǔ); 朽坏 (xiǔ huài); 朽木 (xiǔ mù),General Reference,Top 3500+,General 3500,2836.0,25425.0,13.393402784329615,98.98553573605894,1504.0,2474.0,True,True,True,"3500, 7000, corpus"
忖,cǔn,cun,C,to ponder; to speculate; to consider; to guess,忖度 (cǔn duó); 忖思 (cǔn sī); 忖量 (cǔn liàng),Actions,Top 3500+,General 3500,2837.0,25374.0,13.366536961635383,98.98687238975509,,1758.0,False,True,True,"7000, corpus"
匈,xiōng,xiong,X,Hungary; Hungarian; abbr. for 匈牙利[Xiong1 ya2 li4],匈奴 (xiōng nú); 匈语 (xiōng yǔ); 匈牙利 (xiōng yá lì),General Reference,Top 3500+,General 3500,2838.0,25364.0,13.361269153263967,98.98820851667041,371.0,533.0,True,True,True,"3500, 7000, corpus"
扒,bā,ba,B,to peel; to skin; to tear; to pull down; to cling to (sth on which one is climbing); to dig,扒开 (bā kāi); 扒手 (pá shǒu); 扒拉 (bā lā),Actions,Top 3500+,General 3500,2839.0,25334.0,13.345465728149714,98.98954306324323,1180.0,1992.0,True,True,True,"3500, 7000, corpus"
雍,yōng,yong,Y,surname Yong,时雍 (shí yōng); 辟雍 (pì yōng); 邵雍 (shào yōng),General Reference,Top 3500+,General 3500,2840.0,25297.0,13.325974837175467,98.99087566072696,,6456.0,False,True,True,"7000, corpus"
莺,yīng,ying,Y,oriole or various birds of the Sylvidae family including warblers,夜莺 (yè yīng); 柳莺 (liǔ yīng); 莺鸟 (yīng niǎo),General Reference,Top 3500+,General 3500,2841.0,25291.0,13.322814152152617,98.99220794214217,2686.0,4971.0,True,True,True,"3500, 7000, corpus"
侮,wǔ,wu,W,to insult; to ridicule; to disgrace,侮弄 (wǔ nòng); 侮慢 (wǔ màn); 侮蔑 (wǔ miè),Actions,Top 3500+,General 3500,2842.0,25279.0,13.316492782106915,98.99353959142039,168.0,232.0,True,True,True,"3500, 7000, corpus"
闺,guī,gui,G,small arched door; boudoir; lady's chamber; (fig.) women,兰闺 (lán guī); 孀闺 (shuāng guī); 深闺 (shēn guī),Actions,Top 3500+,General 3500,2843.0,25255.0,13.303850042015512,98.99486997642458,3275.0,6352.0,True,True,True,"3500, 7000, corpus"
霓,ní,ni,N,Japanese cicada,霓裳 (ní cháng),General Reference,Top 3500+,General 3500,2844.0,25232.0,13.291734082761252,98.99619914983286,,6481.0,False,True,True,"7000, corpus"
稽,jī,ji,J,surname Ji,无稽 (wú jī); 滑稽 (huá jī); 稽古 (jī gǔ),General Reference,Top 3500+,General 3500,2845.0,25200.0,13.274877095972714,98.99752663754246,2271.0,4109.0,True,True,True,"3500, 7000, corpus"
斋,zhāi,zhai,Z,"to fast or abstain from meat, wine etc; vegetarian diet; study room; building; to give alms (to a monk)",书斋 (shū zhāi); 化斋 (huà zhāi); 吃斋 (chī zhāi),Actions,Top 3500+,General 3500,2846.0,25200.0,13.274877095972714,98.99885412525207,1403.0,2310.0,True,True,True,"3500, 7000, corpus"
夭,yāo,yao,Y,(bound form) to die prematurely (also pr. [yao3]); (literary) (of vegetation) luxuriant,夭亡 (yāo wáng); 夭寿 (yāo shòu); 夭折 (yāo zhé),Question & Function,Top 3500+,General 3500,2847.0,25128.0,13.236948875698507,99.00017782013964,716.0,1167.0,True,True,True,"3500, 7000, corpus"
沦,lún,lun,L,"to sink (into ruin, oblivion); to be reduced to",沉沦 (chén lún); 沦丧 (lún sàng); 沦为 (lún wèi),Actions,Top 3500+,General 3500,2848.0,25113.0,13.22904716314138,99.00150072485596,1729.0,2920.0,True,True,True,"3500, 7000, corpus"
揍,zòu,zou,Z,to hit; to beat (sb); (coll.) to smash (sth),挨揍 (āi zòu); 揍人 (zòu rén); 揍扁 (zòu biǎn),Actions,Top 3500+,General 3500,2849.0,25073.0,13.20797592965571,99.00282152244893,1323.0,2180.0,True,True,True,"3500, 7000, corpus"
瞟,piǎo,piao,P,to cast a glance,,Actions,Top 3500+,General 3500,2850.0,25058.0,13.200074217098583,99.00414152987064,,3887.0,False,True,True,"7000, corpus"
苟,gǒu,gou,G,surname Gou,不苟 (bù gǒu); 苟且 (gǒu qiě); 苟取 (gǒu qǔ),Places & Movement,Top 3500+,General 3500,2851.0,25037.0,13.189011819518605,99.00546043105258,2645.0,4862.0,True,True,True,"3500, 7000, corpus"
琉,liú,liu,L,precious stone,帛琉 (bó liú); 琉球国 (liú qiú guó); 琉球海 (liú qiú hǎi),Numbers & Measures,Top 3500+,General 3500,2852.0,24975.0,13.156351407615816,99.00677606619334,2026.0,3562.0,True,True,True,"3500, 7000, corpus"
漪,yī,yi,Y,ripple,涟漪 (lián yī); 载漪 (zài yī); 涟漪微漾 (lián yī wēi yàng),General Reference,Top 3500+,General 3500,2853.0,24948.0,13.142128325012989,99.00809027902584,,3203.0,False,True,True,"7000, corpus"
暑,shǔ,shu,S,heat; hot weather; summer heat,中暑 (zhòng shǔ); 冒暑 (mào shǔ); 去暑 (qù shǔ),Actions,Top 3500+,General 3500,2854.0,24941.0,13.138440859152995,99.00940412311175,1473.0,2423.0,True,True,True,"3500, 7000, corpus"
窟,kū,ku,K,cave; hole,洞窟 (dòng kū); 石窟 (shí kū); 窟窿 (kū lóng),General Reference,Top 3500+,General 3500,2855.0,24923.0,13.128958804084444,99.01071701899215,2291.0,4138.0,True,True,True,"3500, 7000, corpus"
钓,diào,diao,D,to fish with a hook and line; to angle,冰钓 (bīng diào); 垂钓 (chuí diào); 海钓 (hǎi diào),Actions,Top 3500+,General 3500,2856.0,24913.0,13.123690995713025,99.01202938809172,3200.0,6126.0,True,True,True,"3500, 7000, corpus"
鳞,lín,lin,L,"scales (of fish, snakes etc)",逆鳞 (nì lín); 鱼鳞 (yú lín); 鳞伤 (lín shāng),General Reference,Top 3500+,General 3500,2857.0,24864.0,13.097878734693078,99.01333917596519,3461.0,6844.0,True,True,True,"3500, 7000, corpus"
瓷,cí,ci,C,chinaware; porcelain; china,搪瓷 (táng cí); 瓷器 (cí qì); 瓷实 (cí shí),General Reference,Top 3500+,General 3500,2858.0,24855.0,13.093137707158803,99.0146484897359,2044.0,3631.0,True,True,True,"3500, 7000, corpus"
萱,xuān,xuan,X,orange day-lily (Hemerocallis flava),萱堂 (xuān táng); 萱草 (xuān cǎo),Time,Top 3500+,General 3500,2859.0,24846.0,13.088396679624529,99.01595732940386,,5017.0,False,True,True,"7000, corpus"
株,zhū,zhu,Z,tree trunk; stump (tree root); a plant; classifier for trees or plants; strain (biology); to involve others (in shady business),株守 (zhū shǒu); 株治 (zhū zhì); 株距 (zhū jù),Business & Work,Top 3500+,General 3500,2860.0,24834.0,13.082075309578826,99.01726553693481,1568.0,2583.0,True,True,True,"3500, 7000, corpus"
倭,wō,wo,W,dwarf; Japanese (derog.) (old),倭人 (wō rén); 倭军 (wō jūn); 倭寇 (wō kòu),General Reference,Top 3500+,General 3500,2861.0,24818.0,13.073646816184556,99.01857290161644,,286.0,False,True,True,"7000, corpus"
鞘,qiào,qiao,Q,scabbard; sheath,出鞘 (chū qiào); 刀鞘 (dāo qiào); 卵鞘 (luǎn qiào),Actions,Top 3500+,General 3500,2862.0,24815.0,13.072066473673132,99.0198801082638,,6518.0,False,True,True,"7000, corpus"
沛,pèi,pei,P,copious; abundant,充沛 (chōng pèi); 沛公 (pèi gōng); 颠沛 (diān pèi),General Reference,Top 3500+,General 3500,2863.0,24758.0,13.04203996595605,99.0211843122604,1725.0,2914.0,True,True,True,"3500, 7000, corpus"
噜,lū,lu,L,grumble; chatter,呼噜 (hū lū); 咕噜 (gū lū); 嘟噜 (dū lū),General Reference,Top 3500+,General 3500,2864.0,24633.0,12.976192361313329,99.02248193149653,,942.0,False,True,True,"7000, corpus"
绞,jiǎo,jiao,J,to twist (strands into a thread); to entangle; to wring; to hang (by the neck); to turn; to wind; classifier for skeins of yarn,绞刀 (jiǎo dāo); 绞刑 (jiǎo xíng); 绞扭 (jiǎo niǔ),Actions,Top 3500+,General 3500,2865.0,24554.0,12.93457667517913,99.02377538916404,2419.0,4395.0,True,True,True,"3500, 7000, corpus"
颓,tuí,tui,T,to crumble; to collapse; to decline; to decay; decadent; dejected; dispirited; balding,倾颓 (qīng tuí); 衰颓 (shuāi tuí); 颓丧 (tuí sàng),Actions,Top 3500+,General 3500,2866.0,24497.0,12.904550167462048,99.02506584418079,3385.0,6569.0,True,True,True,"3500, 7000, corpus"
睿,ruì,rui,R,astute; perspicacious; farsighted,睿智 (ruì zhì); 唐睿宗 (táng ruì zōng),General Reference,Top 3500+,General 3500,2867.0,24474.0,12.892434208207787,99.0263550876016,,3878.0,False,True,True,"7000, corpus"
噗,pū,pu,P,(onom.) pop; plop; pfff; putt-putt of a motor,噗浪 (pū làng),General Reference,Top 3500+,General 3500,2868.0,24442.0,12.87557722141925,99.02764264532374,,940.0,False,True,True,"7000, corpus"
唔,wú,wu,W,oh (expression of agreement or surprise); (Cantonese) not,唔好睇 (wú hǎo dì),Question & Function,Top 3500+,General 3500,2869.0,24276.0,12.788131602453715,99.02892145848398,,806.0,False,True,True,"7000, corpus"
幢,chuáng,chuang,C,banner; pennant (in ancient China),幢幢 (chuáng chuáng); 经幢 (jīng chuáng),General Reference,Top 3500+,General 3500,2870.0,24268.0,12.783917355756582,99.03019985021956,965.0,1612.0,True,True,True,"3500, 7000, corpus"
喀,kā,ka,K,(onom.) sound of coughing or vomiting,喀哒 (kā dá); 喀嚓 (kā chā); 喀山 (kā shān),General Reference,Top 3500+,General 3500,2871.0,24238.0,12.768113930642329,99.03147666161263,,852.0,False,True,True,"7000, corpus"
诅,zǔ,zu,Z,curse; swear (oath),咒诅 (zhòu zǔ); 诅咒 (zǔ zhòu),General Reference,Top 3500+,General 3500,2872.0,24236.0,12.767060368968044,99.03275336764952,2898.0,5479.0,True,True,True,"3500, 7000, corpus"
涕,tì,ti,T,tears; nasal mucus,涕唾 (tì tuò); 涕泣 (tì qì); 涕零 (tì líng),General Reference,Top 3500+,General 3500,2873.0,24195.0,12.745462354645232,99.03402791388498,1796.0,3049.0,True,True,True,"3500, 7000, corpus"
拣,jiǎn,jian,J,to choose; to pick; to sort out; to pick up,分拣 (fēn jiǎn); 拣择 (jiǎn zé); 拣起 (jiǎn qǐ),Actions,Top 3500+,General 3500,2874.0,24189.0,12.742301669622382,99.03530214405194,1244.0,2071.0,True,True,True,"3500, 7000, corpus"
谣,yáo,yao,Y,popular ballad; rumor,传谣 (chuán yáo); 大谣 (dà yáo); 歌谣 (gē yáo),General Reference,Top 3500+,General 3500,2875.0,24186.0,12.740721327110956,99.03657621618466,2943.0,5567.0,True,True,True,"3500, 7000, corpus"
叽,jī,ji,J,grumble,磨叽 (mó jī); 不拉叽 (bù lā jī); 毛哔叽 (máo bì jī),General Reference,Top 3500+,General 3500,2876.0,24178.0,12.736507080413821,99.0378498668927,464.0,655.0,True,True,True,"3500, 7000, corpus"
葱,cōng,cong,C,scallion; green onion,大葱 (dà cōng); 小葱 (xiǎo cōng); 洋葱 (yáng cōng),General Reference,Top 3500+,General 3500,2877.0,24137.0,12.714909066091009,99.0391213577993,2712.0,5035.0,True,True,True,"3500, 7000, corpus"
拭,shì,shi,S,to wipe,拂拭 (fú shì); 拭子 (shì zi); 拭抹 (shì mǒ),Actions,Top 3500+,General 3500,2878.0,24060.0,12.674346941631091,99.04038879249346,1251.0,2079.0,True,True,True,"3500, 7000, corpus"
婢,bì,bi,B,slave girl; maid servant,佣婢 (yōng bì); 奴婢 (nú bì); 婢女 (bì nǚ),General Reference,Top 3500+,General 3500,2879.0,24051.0,12.669605914096817,99.04165575308487,,1283.0,False,True,True,"7000, corpus"
铸,zhù,zhu,Z,to cast or found metals,冶铸 (yě zhù); 浇铸 (jiāo zhù); 连铸 (lián zhù),Actions,Top 3500+,General 3500,2880.0,24048.0,12.66802557158539,99.04292255564202,3229.0,6217.0,True,True,True,"3500, 7000, corpus"
绮,qǐ,qi,Q,beautiful; open-work silk,清绮 (qīng qǐ); 绮丽 (qǐ lì); 绮云 (qǐ yún),Business & Work,Top 3500+,General 3500,2881.0,23912.0,12.59638337773411,99.0441821939798,,4410.0,False,True,True,"7000, corpus"
剿,jiǎo,jiao,J,to plagiarize,剿匪 (jiǎo fěi); 剿灭 (jiǎo miè); 剿说 (chāo shuō),Actions,Top 3500+,General 3500,2882.0,23891.0,12.585320980154131,99.04544072607781,340.0,489.0,True,True,True,"3500, 7000, corpus"
胤,yìn,yin,Y,descendant; heir; offspring; posterity; to inherit,,Actions,Top 3500+,General 3500,2883.0,23866.0,12.572151459225587,99.04669794122374,,4650.0,False,True,True,"7000, corpus"
秩,zhì,zhi,Z,(literary) salary according to rank; (literary) an official's rank; (literary) order; orderliness; (literary) decade,品秩 (pǐn zhì); 禄秩 (lù zhì); 秩序 (zhì xù),Actions,Top 3500+,General 3500,2884.0,23852.0,12.564776527505604,99.04795441887649,2255.0,4083.0,True,True,True,"3500, 7000, corpus"
畔,pàn,pan,P,(bound form) side; edge; boundary,湖畔 (hú pàn); 畔援 (pàn yuán); 耳畔 (ěr pàn),General Reference,Top 3500+,General 3500,2885.0,23833.0,12.55476769159991,99.04920989564565,2064.0,3668.0,True,True,True,"3500, 7000, corpus"
粥,zhōu,zhou,Z,used in 葷粥|荤粥[Xun1 yu4],白粥 (bái zhōu); 稀粥 (xī zhōu); 米粥 (mǐ zhōu),General Reference,Top 3500+,General 3500,2886.0,23792.0,12.533169677277096,99.05046321261338,2359.0,4293.0,True,True,True,"3500, 7000, corpus"
奎,kuí,kui,K,crotch; 15th of the 28th constellations of Chinese astronomy,奎星 (kuí xīng); 奎宁水 (kuí níng shuǐ); 拉奎拉 (lā kuí lā),General Reference,Top 3500+,General 3500,2887.0,23789.0,12.531589334765671,99.05171637154686,,1184.0,False,True,True,"7000, corpus"
绸,chóu,chou,C,(light) silk; CL:匹[pi3],丝绸 (sī chóu); 府绸 (fǔ chóu); 绵绸 (mián chóu),General Reference,Top 3500+,General 3500,2888.0,23778.0,12.525794745557112,99.05296895102141,2432.0,4419.0,True,True,True,"3500, 7000, corpus"
茨,cí,ci,C,Caltrop or puncture vine (Tribulus terrestris); to thatch (a roof),本茨 (běn cí); 盖茨 (gài cí); 茨菰 (cí gū),Actions,Top 3500+,General 3500,2889.0,23761.0,12.516839471325701,99.05422063496854,,4898.0,False,True,True,"7000, corpus"
熏,xūn,xun,X,to smoke; to fumigate; to assail the nostrils; to perfume,烟熏 (yān xūn); 熏制 (xūn zhì); 熏天 (xūn tiān),Actions,Top 3500+,General 3500,2890.0,23690.0,12.479438031888636,99.05546857877174,1941.0,3362.0,True,True,True,"3500, 7000, corpus"
蹬,dēng,deng,D,"to step on; to tread on; to put on; to wear (shoes, trousers etc); (slang) to dump (sb); Taiwan pr. [deng4]",脚蹬 (jiǎo dēng); 蹬子 (dēng zi); 蹬脚 (dēng jiǎo),Actions,Top 3500+,General 3500,2891.0,23651.0,12.458893579240106,99.05671446812966,3051.0,5779.0,True,True,True,"3500, 7000, corpus"
诏,zhào,zhao,Z,(literary) to admonish; (bound form) imperial edict,下诏 (xià zhào); 南诏 (nán zhào); 奉诏 (fèng zhào),Actions,Top 3500+,General 3500,2892.0,23643.0,12.454679332542971,99.05795993606291,,5488.0,False,True,True,"7000, corpus"
